Summary,Issue Type,Description,Priority,Story Points,Epic Name,Epic Link,Labels,Sprint
Plataforma y Multi-tenancy,Epic,"Que varias organizaciones convivan en la misma instalación sin verse entre sí. Es el cimiento comercial del producto.

Historias: 6  ·  Puntos: 20",Medium,,Plataforma y Multi-tenancy,,epica,
Autenticación y Acceso,Epic,"Entrar al sistema de forma segura por credenciales propias o proveedores corporativos.

Historias: 7  ·  Puntos: 23",Medium,,Autenticación y Acceso,,epica,
Usuarios y Roles,Epic,"Administrar las personas de cada organización y lo que cada una puede hacer.

Historias: 6  ·  Puntos: 19",Medium,,Usuarios y Roles,,epica,
Grupos,Epic,"Agrupar aprendices para asignarles cursos en bloque, en vez de uno por uno.

Historias: 6  ·  Puntos: 15",Medium,,Grupos,,epica,
Cursos y Estructura de Contenido,Epic,"Organizar el contenido formativo en cursos con secciones ordenados.

Historias: 8  ·  Puntos: 28",Medium,,Cursos y Estructura de Contenido,,epica,
Actividades y Recursos Multimedia,Epic,"Cargar y consumir el material de apoyo: videos, PDFs, enlaces.

Historias: 7  ·  Puntos: 25",Medium,,Actividades y Recursos Multimedia,,epica,
Evaluaciones,Epic,"El examen de siempre y el motor que presenta preguntas y las califica. Ese mismo motor es el que después reutilizan los juegos.

Historias: 5  ·  Puntos: 31",Medium,,Evaluaciones,,epica,
Entregas y Calificación,Epic,"Que el aprendiz entregue trabajos y el instructor los califique con retroalimentación.

Historias: 5  ·  Puntos: 18",Medium,,Entregas y Calificación,,epica,
Gamificación: XP y Niveles,Epic,"La economía de puntos que sostiene toda la motivación del producto.

Historias: 8  ·  Puntos: 28",Medium,,Gamificación: XP y Niveles,,epica,
Gamificación: Logros,Epic,"Metas desbloqueables que premian conductas específicas.

Historias: 4  ·  Puntos: 15",Medium,,Gamificación: Logros,,epica,
Juegos Autogenerables,Epic,"El instructor elige qué juego quiere, carga solo los datos que ese juego pide, y el sistema lo arma e inserta en la sección.

Historias: 6  ·  Puntos: 29",Medium,,Juegos Autogenerables,,epica,
Perfil de Usuario,Epic,"Que cada persona gestione sus datos y vea su progreso.

Historias: 4  ·  Puntos: 10",Medium,,Perfil de Usuario,,epica,
Notificaciones,Epic,"Avisar de lo que requiere atención sin que el usuario tenga que entrar a buscarlo.

Historias: 3  ·  Puntos: 13",Medium,,Notificaciones,,epica,
Reportes y Analítica,Epic,"Datos de avance y uso. Es lo que justifica la renovación del contrato ante un cliente.

Historias: 4  ·  Puntos: 18",Medium,,Reportes y Analítica,,epica,
HU-001 · Crear organización,Story,"Como superadmin, quiero registrar una nueva organización con su nombre y dominio de correo, para habilitar a un cliente nuevo en la plataforma.

CRITERIOS DE ACEPTACIÓN
1. Dado que soy superadmin, cuando envío nombre y dominio válidos, entonces la organización queda creada y activa.
2. El dominio se normaliza a minúsculas y es único: un dominio repetido devuelve error explicativo.
3. Un usuario que no sea superadmin recibe 403.

Valor de negocio: 5/5  ·  Prioridad: Must",Highest,3,,Plataforma y Multi-tenancy,MVP,Sprint 1
HU-007 · Iniciar sesión con correo y contraseña,Story,"Como usuario, quiero entrar con mi correo y contraseña, para acceder a la plataforma.

CRITERIOS DE ACEPTACIÓN
1. Con credenciales válidas recibo un token y mis datos, sin la contraseña.
2. Con contraseña incorrecta recibo 401 y un mensaje que no revela si el correo existe.
3. Un usuario creado solo por OAuth recibe un mensaje indicándole que use su proveedor.

Valor de negocio: 5/5  ·  Prioridad: Must",Highest,3,,Autenticación y Acceso,MVP,Sprint 1
HU-008 · Iniciar sesión con Google,Story,"Como usuario, quiero entrar con mi cuenta institucional de Google, para no tener que recordar otra contraseña.

CRITERIOS DE ACEPTACIÓN
1. El dominio del correo debe corresponder a una organización activa; si no, se rechaza con motivo explícito.
2. Si es mi primer ingreso, se crea mi usuario con rol aprendiz en esa organización.
3. Al terminar vuelvo al frontend con un token válido.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-001",Highest,3,,Autenticación y Acceso,MVP,Sprint 1
HU-009 · Iniciar sesión con Microsoft,Story,"Como usuario, quiero entrar con mi cuenta institucional de Microsoft, para no tener que recordar otra contraseña.

CRITERIOS DE ACEPTACIÓN
1. Mismo comportamiento que Google respecto al dominio y alta automática.
2. El correo se toma de 'mail' y, si viene vacío, de 'userPrincipalName'.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-001",Highest,3,,Autenticación y Acceso,MVP,Sprint 1
HU-011 · Cerrar sesión,Story,"Como usuario, quiero salir de mi cuenta, para proteger mi información en equipos compartidos.

CRITERIOS DE ACEPTACIÓN
1. El token se descarta en el cliente y se redirige al login.
2. Volver atrás en el navegador no restaura la sesión.

Valor de negocio: 3/5  ·  Prioridad: Must

Depende de: HU-007",Highest,1,,Autenticación y Acceso,MVP,Sprint 1
HU-069 · Ver mi perfil,Story,"Como usuario, quiero consultar mis datos personales, para verificar que están correctos.

CRITERIOS DE ACEPTACIÓN
1. Veo nombre, correo, rol, organización y datos de contacto.
2. No se muestra ningún dato sensible de autenticación.

Valor de negocio: 3/5  ·  Prioridad: Must

Depende de: HU-007",Highest,1,,Perfil de Usuario,MVP,Sprint 1
HU-002 · Consultar organizaciones,Story,"Como superadmin, quiero ver el listado de todas las organizaciones, para administrar los clientes de la plataforma.

CRITERIOS DE ACEPTACIÓN
1. El listado muestra nombre, dominio, estado y fecha de creación.
2. Solo accesible para superadmin.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-001",Highest,2,,Plataforma y Multi-tenancy,MVP,Sprint 2
HU-010 · Recuperar contraseña olvidada,Story,"Como usuario, quiero restablecer mi contraseña desde el correo, para recuperar el acceso sin depender de un administrador.

CRITERIOS DE ACEPTACIÓN
1. Se envía un enlace con token de un solo uso y caducidad de 1 hora.
2. La respuesta es idéntica exista o no el correo, para no filtrar qué cuentas hay.
3. Al usar el enlace se exige una contraseña que cumpla la política mínima.
4. El token queda invalidado tras el primer uso.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-007",Highest,5,,Autenticación y Acceso,MVP,Sprint 2
HU-013 · Limitar intentos fallidos de inicio de sesión,Story,"Como sistema, quiero bloquear temporalmente tras varios intentos fallidos, para impedir ataques de fuerza bruta contra las contraseñas.

CRITERIOS DE ACEPTACIÓN
1. Tras 5 intentos fallidos desde la misma IP se aplica una espera creciente.
2. El bloqueo se registra para auditoría.
3. Un inicio de sesión exitoso reinicia el contador.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-007",Highest,3,,Autenticación y Acceso,MVP,Sprint 2
HU-071 · Cambiar mi contraseña,Story,"Como usuario, quiero cambiar mi contraseña estando dentro, para mantener segura mi cuenta.

CRITERIOS DE ACEPTACIÓN
1. Se exige la contraseña actual antes de permitir el cambio.
2. La nueva debe cumplir la política mínima de seguridad.
3. Se notifica el cambio al correo registrado.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-069",Highest,3,,Perfil de Usuario,MVP,Sprint 2
HU-006 · Aislamiento de datos entre organizaciones,Story,"Como sistema, quiero que toda consulta devuelva únicamente datos de la organización del usuario autenticado, para impedir que un cliente vea información de otro.

CRITERIOS DE ACEPTACIÓN
1. Grupos, cursos, actividades y ranking se filtran por la organización del token.
2. Un admin de la organización A no obtiene ningún registro de la B, ni siquiera conociendo el id.
3. El superadmin es la única excepción y puede consultar todo.
4. Existe una prueba automatizada que lo verifica para cada módulo.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-001

Nota: Riesgo alto. El schema ya tiene tenant_id en groups y courses, pero ningún servicio lo escribe ni lo filtra. La tabla activities ni siquiera tiene la columna.",Highest,8,,Plataforma y Multi-tenancy,MVP,Sprint 3
